,SPD,BÜNDNIS 90/DIE GRÜNEN,FDP,CDU/CSU,DIE LINKE,AfD,Fraktionslos
60,-0.6296999999999997,0.5961000000000001,2.935699999999999,-1.5304,0.3446,-2.962600000000001,2.2781
61,2.4351000000000003,9.950099999999985,4.2038,0.0,0.0,-0.4793,-1.1805
62,0.5343,3.2306,5.229799999999999,-0.8742000000000003,0.3948,-2.5899,-0.6332000000000004
63,0.6808000000000007,1.1541,-0.6823999999999999,0.7927000000000002,0.4648,-2.4036999999999993,-3.146100000000001
64,0.9715000000000004,-0.5600999999999994,2.2721,-2.5458000000000003,-0.8407,0.5756,-3.5901
65,-0.7762999999999992,-1.8982,-0.13689999999999966,0.0,0.0,2.3146,0.9927
66,5.969999999999987,4.001000000000001,3.2647000000000004,0.0,-4.718000000000006,1.023,0.7096
67,3.7230000000000008,1.2155,2.6669000000000005,-0.30500000000000005,-0.6520999999999999,-4.885700000000001,0.0
68,-3.189099999999999,-3.4274000000000013,3.4939,0.0,-0.11350000000000028,-2.7763,-2.2054
69,-1.4126999999999996,2.0154,4.4082,0.8913,-6.397300000000005,-1.1949,0.6512
70,-2.7947,2.2532000000000005,6.446699999999997,0.0,0.2143999999999998,-1.4809000000000003,-2.5628
71,4.8321999999999985,1.8592,3.3786,0.0,-3.0695,-0.7494999999999998,-1.9107
72,6.169399999999994,-0.2431999999999997,1.0862000000000005,-1.0200999999999998,-0.9207999999999996,-3.5285,-1.8802
73,-0.046800000000000015,4.502999999999999,2.9017000000000004,-0.4755,0.5715,-1.0111999999999997,-1.6197
74,2.9214,3.8863,5.449699999999997,0.016,-0.3654,-0.7553999999999998,-0.7456000000000002
75,-0.3781,0.7377,-1.3976999999999995,0.4476,-0.28279999999999983,-3.352,-2.9760000000000004
76,1.8336,0.14200000000000013,2.8721999999999994,-1.0900999999999998,-0.4609999999999999,0.30410000000000004,-2.1641
77,0.0,-0.3465,0.08629999999999992,5.3716999999999615,-1.0758,-0.2226000000000002,-0.4024
